weather,day,humidity,temperature,go
cloudy,weekday,high,cold,yes
sunny,weekend,medium,warm,yes
sunny,weekday,low,cold,yes
cloudy,weekday,high,hot,yes
rainy,weekday,low,cold,no
sunny,weekend,high,hot,yes
sunny,weekend,high,hot,no
sunny,weekend,high,cold,yes
cloudy,weekday,medium,hot,yes
sunny,weekday,low,cold,no
cloudy,weekend,medium,warm,no
cloudy,weekday,medium,hot,yes
cloudy,weekend,low,hot,no
sunny,weekend,low,hot,yes
cloudy,weekend,low,hot,yes
rainy,weekday,high,warm,yes
sunny,weekend,medium,warm,no
sunny,weekday,medium,cold,no
sunny,weekday,medium,hot,yes
sunny,weekend,medium,hot,yes
sunny,weekend,medium,warm,yes
cloudy,weekend,high,cold,yes
cloudy,weekend,low,warm,no
sunny,weekday,high,warm,yes
cloudy,weekday,high,cold,yes
sunny,weekend,high,hot,no
cloudy,weekday,low,hot,no
cloudy,weekday,low,warm,yes
cloudy,weekday,medium,warm,no
cloudy,weekday,high,warm,yes
rainy,weekday,medium,cold,yes
sunny,weekend,low,cold,no
rainy,weekday,low,warm,yes
cloudy,weekend,low,hot,no
rainy,weekend,low,hot,yes
sunny,weekend,high,cold,yes
sunny,weekend,medium,cold,no
cloudy,weekday,low,hot,no
rainy,weekday,medium,cold,no
rainy,weekend,low,hot,yes
rainy,weekend,medium,warm,yes
sunny,weekday,medium,cold,yes
sunny,weekend,low,warm,yes
rainy,weekend,low,cold,no
sunny,weekday,medium,cold,no
sunny,weekend,high,warm,no
rainy,weekday,low,warm,yes
sunny,weekend,low,cold,no
rainy,weekday,high,warm,no
rainy,weekday,high,hot,no
cloudy,weekend,low,hot,no
rainy,weekday,low,warm,yes
sunny,weekday,low,hot,yes
cloudy,weekend,low,hot,no
rainy,weekday,medium,hot,yes
cloudy,weekday,medium,cold,no
sunny,weekend,medium,hot,yes
rainy,weekend,low,hot,yes
sunny,weekday,medium,warm,no
cloudy,weekday,low,hot,no
rainy,weekend,low,cold,no
cloudy,weekend,medium,cold,no
cloudy,weekday,low,warm,yes
rainy,weekday,medium,cold,no
cloudy,weekday,medium,cold,yes
sunny,weekday,medium,hot,no
cloudy,weekday,medium,hot,yes
sunny,weekend,medium,cold,no
sunny,weekday,high,warm,yes
cloudy,weekday,high,warm,yes
sunny,weekday,high,hot,no
rainy,weekend,high,cold,no
sunny,weekday,high,hot,yes
sunny,weekend,medium,warm,no
sunny,weekend,low,cold,no
rainy,weekday,low,hot,yes
rainy,weekday,medium,hot,no
rainy,weekend,low,warm,no
cloudy,weekend,low,hot,no
rainy,weekend,high,warm,no
sunny,weekend,high,warm,no
rainy,weekend,high,cold,no
rainy,weekday,low,cold,yes
sunny,weekday,high,hot,yes
cloudy,weekday,medium,warm,no
rainy,weekday,low,warm,no
cloudy,weekend,low,cold,yes
cloudy,weekday,high,cold,no
cloudy,weekday,medium,warm,no
sunny,weekday,high,cold,yes
cloudy,weekday,high,hot,no
cloudy,weekday,low,warm,no
sunny,weekday,low,cold,yes
cloudy,weekday,high,hot,no
cloudy,weekday,low,warm,no
sunny,weekday,low,hot,no
sunny,weekend,low,hot,no
rainy,weekday,high,warm,no
rainy,weekday,low,hot,yes
rainy,weekend,high,cold,no
