meanfreq,sd,median,Q25,Q75,IQR,skew,kurt,sp.ent,sfm,mode,centroid,meanfun,minfun,maxfun,meandom,mindom,maxdom,dfrange,modindx,label
low,high,low,low,low,medium,high,high,medium,high,low,low,low,low,medium,low,low,low,low,low,male
low,high,low,low,low,medium,high,high,medium,high,low,low,low,low,low,low,low,low,low,low,male
low,high,low,low,low,high,high,high,low,medium,low,low,low,low,medium,low,low,low,low,low,male
low,high,low,low,low,high,low,low,high,high,low,low,low,low,low,low,low,low,low,high,male
low,high,low,low,low,high,low,low,high,high,low,low,low,low,medium,medium,low,medium,medium,high,male
low,high,low,low,low,high,medium,medium,high,high,low,low,low,low,low,low,low,low,low,medium,male
low,high,low,low,low,high,low,low,high,high,low,low,low,medium,medium,low,low,medium,medium,medium,male
low,high,low,low,medium,high,low,low,high,high,low,low,low,low,low,low,low,low,low,high,male
low,high,low,low,low,high,low,low,high,high,high,low,low,low,low,low,low,low,low,medium,male
low,high,low,low,low,high,low,low,high,high,low,low,low,low,low,low,low,medium,medium,low,male
low,high,low,low,medium,high,low,low,high,high,low,low,low,medium,low,low,low,low,low,high,male
low,high,low,low,low,high,low,low,high,high,low,low,low,low,low,low,low,low,low,medium,male
low,high,low,low,low,high,low,low,high,high,low,low,low,low,low,low,low,medium,medium,low,male
medium,medium,medium,medium,medium,medium,low,low,high,high,high,medium,medium,medium,medium,high,low,low,low,high,male
medium,high,medium,medium,high,high,high,high,high,high,low,medium,low,low,medium,high,medium,high,high,medium,male
medium,high,medium,low,medium,high,high,high,high,high,low,medium,low,low,low,high,low,high,high,high,male
medium,high,high,medium,high,high,low,medium,high,high,low,medium,low,low,medium,high,low,medium,medium,high,male
low,high,low,low,high,high,high,high,high,high,low,low,low,low,low,low,low,low,low,medium,male
low,high,low,low,high,high,high,high,high,high,low,low,low,low,low,low,low,low,low,low,male
medium,high,low,low,high,high,high,high,high,high,low,medium,low,low,low,low,low,low,low,low,male
medium,high,medium,low,high,high,high,high,high,high,low,medium,low,low,low,low,low,low,low,high,male
medium,high,low,medium,high,high,medium,high,medium,medium,low,medium,low,low,medium,low,low,medium,medium,low,male
low,high,low,low,medium,high,high,high,high,high,low,low,low,low,low,low,low,low,low,low,male
low,high,low,low,high,high,high,high,medium,high,low,low,low,low,low,low,low,low,low,medium,male
low,high,low,low,medium,high,high,high,high,high,low,low,low,low,medium,low,low,medium,medium,low,male
low,high,low,low,high,high,high,high,high,high,low,low,low,low,low,low,low,low,low,medium,male
low,high,medium,low,high,high,high,high,high,high,low,low,low,low,medium,low,low,medium,medium,low,male
low,high,low,medium,high,high,high,high,medium,medium,low,low,medium,low,low,low,low,low,low,high,male
low,high,low,low,high,high,medium,medium,medium,high,low,low,low,low,low,low,low,low,low,high,male
medium,high,low,medium,high,high,high,high,low,medium,low,medium,medium,low,low,low,low,low,low,high,male
low,high,low,low,low,high,low,low,high,high,high,low,low,low,low,low,low,low,low,high,male
low,high,low,low,high,high,high,high,medium,high,low,low,medium,low,medium,low,low,low,low,high,male
medium,high,low,medium,high,high,high,high,medium,medium,low,medium,medium,low,low,low,low,low,low,high,male
medium,high,low,low,high,high,medium,medium,low,medium,low,medium,medium,low,low,medium,low,medium,medium,high,male
medium,high,low,medium,high,high,high,high,low,medium,low,medium,medium,low,low,low,low,low,low,high,male
low,high,low,low,high,high,medium,medium,high,high,low,low,low,low,low,low,low,low,low,high,male
low,high,low,medium,low,medium,medium,low,medium,high,low,low,medium,low,low,low,low,low,low,high,male
